企业代号,企业名称,PD,tier,rate_opt,profit_unit,cap_wan,amount_wan,expected_profit
E124,个体经营E124 ,0.008081887306532951,A,0.0465,0.03287893004548618,1000.0,1000.0,32.87893004548618
E125,个体经营E125 ,0.005501564818857725,A,0.0465,0.03521273240055213,1000.0,1000.0,35.21273240055213
E126,个体经营E126 ,0.0054849587271501125,A,0.0465,0.03522775197121463,1000.0,1000.0,35.22775197121463
E127,个体经营E127 ,0.004252489290514515,A,0.0465,0.03634247313010298,1000.0,1000.0,36.342473130102974
E128,个体经营E128 ,0.020920785132796393,A,0.0745,0.02543305559242757,1000.0,0.0,0.0
E129,个体经营E129 ,0.013469346781035554,A,0.0745,0.029347495040666267,1000.0,0.0,0.0
E130,个体经营E130 ,0.051556145971525885,A,0.1025,0.012269790254237026,1000.0,0.0,0.0
E131,个体经营E131 ,0.01230958019485236,A,0.0745,0.02995675138305174,1000.0,0.0,0.0
E132,个体经营E132 ,0.009465259186203561,A,0.0585,0.03164280420579039,1000.0,0.0,0.0
E133,个体经营E133 ,0.035041314753178676,A,0.0745,0.018015164499899674,1000.0,0.0,0.0
E134,***工程咨询有限公司,0.010023293871655929,A,0.0585,0.03125727681092684,1000.0,0.0,0.0
E135,***建设工程有限公司,0.009843884838645914,A,0.0585,0.031381224477468876,1000.0,0.0,0.0
E136,***机械有限责任公司,0.03796165978010046,A,0.0985,0.016568187430976874,1000.0,0.0,0.0
E137,***建设工程有限公司,0.016668807665673493,A,0.0745,0.027666732842994205,1000.0,0.0,0.0
E138,个体经营E138 ,0.022832845995295305,A,0.0745,0.02442859898763926,1000.0,0.0,0.0
E139,个体经营E139 ,0.006182068377293806,A,0.0465,0.034597243129387514,1000.0,1000.0,34.597243129387515
E140,***建筑工程有限公司,0.009176308480920898,A,0.0465,0.031889068225337554,1000.0,0.0,0.0
E141,***食品有限公司,0.004401531525591604,A,0.0465,0.03620767016617554,1000.0,1000.0,36.20767016617555
E142,***运业有限公司,0.026227281482540256,A,0.0745,0.02264541142726267,1000.0,0.0,0.0
E143,***电子科技有限公司,0.03836254733550828,A,0.0985,0.016439730940417962,1000.0,0.0,0.0
E144,***劳务有限公司,0.021473874170941546,A,0.0745,0.02514250315850826,1000.0,0.0,0.0
E145,***工贸有限公司,0.019017444611646124,A,0.0745,0.02643293116915581,1000.0,0.0,0.0
E146,***基础建设工程有限公司,0.011455376991860621,A,0.0745,0.03040548712463008,1000.0,0.0,0.0
E147,***装饰工程有限责任公司,0.00979823582578815,A,0.0585,0.03141276184506257,1000.0,0.0,0.0
E148,***商贸有限公司,0.00869905159137037,A,0.0465,0.032320728708910666,1000.0,0.0,0.0
E149,***建筑劳务有限公司,0.05234426141571179,A,0.1025,0.01203629618211605,1000.0,0.0,0.0
E150,***建设工程有限公司,0.012500657610592408,A,0.0745,0.029856373316626002,1000.0,0.0,0.0
E151,***路桥工程有限公司,0.058639396234283075,A,0.1225,0.01051811088687009,1000.0,0.0,0.0
E152,***运贸有限责任公司,0.013972198626818833,A,0.0745,0.029083333544746685,1000.0,0.0,0.0
E153,个体经营E153 ,0.009755048288807702,A,0.0585,0.03144259866176358,1000.0,0.0,0.0
E154,***汽车销售服务有限公司,0.03332336147631447,A,0.0745,0.018917651209140057,1000.0,0.0,0.0
E155,个体经营E155 ,0.051535226565351124,A,0.1025,0.012275988023066623,1000.0,0.0,0.0
E156,个体经营E156 ,0.012580499433867302,A,0.0745,0.02981443027584748,1000.0,0.0,0.0
E157,***环境设备工程有限公司,0.04704953936405375,A,0.0985,0.013656156108904454,1000.0,0.0,0.0
E158,***装饰工程有限公司,0.017944088324787597,A,0.0745,0.026996793874978393,1000.0,0.0,0.0
E159,个体经营E159 ,0.015062604483986846,A,0.0745,0.028510514244580246,1000.0,0.0,0.0
E160,***钢结构工程有限公司,0.02163017008542768,A,0.0745,0.025060396743024266,1000.0,0.0,0.0
E161,***建筑劳务有限责任公司,0.01698432558614268,A,0.0745,0.02750098285806425,1000.0,0.0,0.0
E162,***网络信息安全有限公司,0.01655878261446751,A,0.0745,0.027724531939008118,1000.0,0.0,0.0
E163,***物流有限公司,0.026955501792608322,A,0.0745,0.02226285786187413,1000.0,0.0,0.0
E164,个体经营E164 ,0.011799979446019262,A,0.0745,0.03022445825787448,1000.0,0.0,0.0
E165,***文化传媒股份有限公司,0.009878529053900891,A,0.0585,0.03135728995439615,1000.0,0.0,0.0
E166,***建筑工程有限公司,0.032868351318245614,A,0.0745,0.019156680189588264,1000.0,0.0,0.0
E167,***体育文化股份有限公司,0.016535497997099222,A,0.0745,0.02773676396998802,1000.0,0.0,0.0
E168,***建材有限公司,0.0005020120676651983,A,0.0465,0.03973463539552313,1000.0,1000.0,39.734635395523135
E169,***建筑设计有限公司,0.011058819008277206,A,0.0745,0.03061380961770769,1000.0,0.0,0.0
E170,***建筑劳务有限公司,0.029649687719918306,A,0.0745,0.020847530085289948,1000.0,0.0,0.0
E171,***质量检验测试站,0.005385300786660909,A,0.0465,0.03531788874184142,1000.0,1000.0,35.31788874184142
E172,***物流有限公司,0.028834521689098946,A,0.0745,0.021275758558407406,1000.0,0.0,0.0
E173,***贸易有限责任公司,0.023254929841618942,A,0.0745,0.02420686707756809,1000.0,0.0,0.0
E174,***工程技术有限公司,0.04131981171022423,A,0.0985,0.015492134044214848,1000.0,0.0,0.0
E175,***食品集团有限公司,0.02961715596126079,A,0.0745,0.02086461988639922,1000.0,0.0,0.0
E176,***科技有限公司,0.03265787101995897,A,0.0745,0.019267251108086914,1000.0,0.0,0.0
E177,***电力工程有限公司,0.0332873275508947,A,0.0745,0.018936580791923854,1000.0,0.0,0.0
E178,***贸易有限公司,0.02790925736102323,A,0.0745,0.02176182460564402,1000.0,0.0,0.0
E179,***园林有限公司,0.025367500740631904,A,0.0745,0.0230970771989008,1000.0,0.0,0.0
E180,***电气有限公司,0.01895606899639017,A,0.0745,0.02646517341799104,1000.0,0.0,0.0
E181,***食品有限公司,0.04122435828575966,A,0.0985,0.015522720206726369,1000.0,0.0,0.0
E182,***新材料科技有限公司,0.04534635752465543,A,0.0985,0.014201907053081836,1000.0,0.0,0.0
E183,***建设工程有限公司,0.03575423539834627,A,0.0745,0.017640648256837914,1000.0,0.0,0.0
E184,***建筑装饰工程有限公司,0.05790763737316154,A,0.1225,0.01067054532785885,1000.0,0.0,0.0
E185,***生态魔芋有限公司,0.01430526522407014,A,0.0745,0.028908364771521432,1000.0,0.0,0.0
E186,***建筑劳务有限公司,0.051704982805664164,A,0.1025,0.012225694533564481,1000.0,0.0,0.0
E188,***硬质合金有限公司,0.032529447930480106,A,0.0745,0.019334715184657045,1000.0,0.0,0.0
E189,***石油工程技术服务有限公司,0.05995071337977274,A,0.1225,0.010244947271570196,1000.0,0.0,0.0
E190,***劳务有限公司,0.017650011885961266,A,0.0745,0.02715128007731909,1000.0,0.0,0.0
E191,***商贸有限责任公司,0.033416655331055194,A,0.0745,0.01886864145719209,1000.0,0.0,0.0
E193,个体经营E193 ,0.013282738540195117,A,0.0745,0.029445525330233067,1000.0,0.0,0.0
E194,***文化传播有限公司,0.00808570574435706,A,0.0465,0.032875476415473205,1000.0,164.37212049999926,5.403811770859045
E195,***医药有限公司,0.022529741381959213,A,0.0745,0.024587827931015754,1000.0,0.0,0.0
E196,***地质制图印刷厂,0.031162078346668377,A,0.0745,0.02005303092270908,1000.0,0.0,0.0
E197,***医疗设备有限公司,0.020772543945812048,A,0.0745,0.025510930644570773,1000.0,0.0,0.0
E199,***建筑劳务有限公司,0.04691233952059653,A,0.0985,0.013700119085948773,1000.0,0.0,0.0
E201,***物流有限责任公司,0.042543224503990916,A,0.0985,0.015100115604449946,1000.0,0.0,0.0
E203,***建设工程有限公司,0.0658698357830048,A,0.1225,0.00901192070692042,1000.0,0.0,0.0
E204,***科技发展有限公司,0.0362594081997361,A,0.0745,0.01737526750099092,1000.0,0.0,0.0
E205,个体经营E205 ,0.042074379381509666,A,0.0985,0.015250347753682756,1000.0,0.0,0.0
E206,***建设工程有限公司,0.01352744014152653,A,0.0745,0.029316977047863863,1000.0,0.0,0.0
E207,个体经营E207 ,0.027230213923518792,A,0.0745,0.02211854424732325,1000.0,0.0,0.0
E208,个体经营E208 ,0.03867728364394498,A,0.0985,0.016338879913520614,1000.0,0.0,0.0
E209,***工程检测有限公司,0.013625848209009682,A,0.0745,0.029265280663461783,1000.0,0.0,0.0
E210,***建筑工程有限公司,0.07119324367218678,A,0.1225,0.007902988859482452,1000.0,0.0,0.0
E211,个体经营E211 ,0.007761470856458256,A,0.0465,0.03316873438946177,1000.0,1000.0,33.16873438946177
E212,***建电管理咨询有限公司,0.018484093993873553,A,0.0745,0.02671311448402657,1000.0,0.0,0.0
E213,***科技有限公司,0.03758835797811904,A,0.0985,0.016687804612291142,1000.0,0.0,0.0
E214,***建筑工程有限公司,0.01720311805945391,A,0.0745,0.027386045332169692,1000.0,0.0,0.0
E216,***建设工程有限公司,0.04301788091563672,A,0.0985,0.01494802134250839,1000.0,0.0,0.0
E220,***文化传播有限公司,0.018268913947425847,A,0.0745,0.026826154305672506,1000.0,0.0,0.0
E221,***测绘服务有限公司,0.013729409690069097,A,0.0745,0.029210877053361298,1000.0,0.0,0.0
E222,***数码科技有限公司,0.04958771618937195,A,0.1025,0.012852974721576198,1000.0,0.0,0.0
E224,***纸业有限公司,0.05457094729529014,A,0.1025,0.011376598472608418,1000.0,0.0,0.0
E225,***物业服务有限责任公司***分公司,0.014210775477387931,A,0.0745,0.028958002757425126,1000.0,0.0,0.0
E226,***建设工程有限公司,0.0710599447521385,A,0.1225,0.007930756676780656,1000.0,0.0,0.0
E227,***安全技术有限公司,0.03577519739205741,A,0.0745,0.017629636362056927,1000.0,0.0,0.0
E228,***文化发展有限公司,0.0267812742535515,A,0.0745,0.022354384238347794,1000.0,0.0,0.0
E230,***建筑劳务有限公司,0.013272911031955372,A,0.0745,0.029450687982611773,1000.0,0.0,0.0
E231,***建筑科技有限公司,0.04933426975661882,A,0.1025,0.012928063009827157,916.1023447499999,0.0,0.0
E234,***机电设备商贸有限公司,0.05740303714642375,A,0.1225,0.010775659809653693,1000.0,0.0,0.0
E235,个体经营E235 ,0.04701134782113804,A,0.0985,0.013668393833687384,1000.0,0.0,0.0
E236,个体经营E236 ,0.04420836220576511,A,0.0985,0.014566555151944388,1000.0,0.0,0.0
E238,个体经营E238 ,0.010458147952726983,A,0.0585,0.030956850752490703,1000.0,0.0,0.0
E243,***科技有限公司,0.053309008365839704,A,0.1025,0.011750471693313714,832.90605525,0.0,0.0
E246,***物业服务有限公司,0.03352897021825127,A,0.0745,0.01880963944921589,880.26464325,0.0,0.0
E250,***塑料厂,0.0438440492228621,A,0.0985,0.014683292043916904,983.6979785,0.0,0.0
E253,***钢结构工程有限公司,0.04756318372629884,A,0.0985,0.013491568929084784,714.2842385,0.0,0.0
E254,***设备安装工程有限公司,0.042099488098141215,A,0.0985,0.015242302161901675,999.8539925000001,0.0,0.0
E258,***国际货运有限公司,0.010869356538160051,A,0.0745,0.030713339310094137,1000.0,0.0,0.0
E259,***文化传媒有限公司,0.02902881479946308,A,0.0745,0.021173691201767382,887.763547,0.0,0.0
E261,***医疗器械有限公司,0.07058573468613491,A,0.1225,0.008029540511405782,467.32125149999996,0.0,0.0
E263,***通信工程有限公司,0.040419458509332255,A,0.0985,0.015780634425156856,806.072638,0.0,0.0
E265,***净化工程有限公司,0.07101395005854401,A,0.1225,0.00794033794156477,697.090819,0.0,0.0
E267,***林园艺场,0.045744254182631276,A,0.0985,0.014074408936467313,503.04204675000005,0.0,0.0
E268,***建筑劳务有限公司,0.0030810897694623068,A,0.0465,0.037401958901363226,687.39779575,687.39779575,25.710024105529172
E273,个体经营E273 ,0.012892888808546707,A,0.0745,0.029650323799523114,583.36300425,0.0,0.0
E274,***建筑劳务有限公司,0.05838396951014325,A,0.1225,0.010571319439545722,329.47851975,0.0,0.0
E281,***商业管理有限责任公司,0.07125474739603059,A,0.1225,0.00789017687146158,435.67927474999993,0.0,0.0
E282,***影城有限公司***分公司,0.020146483229867694,A,0.0745,0.025839817048483114,558.89527875,0.0,0.0
E289,***运业有限公司***分公司,0.021113373082014938,A,0.0745,0.025331884002448797,550.8581745,0.0,0.0
E298,***电器维护服务有限公司,0.02236092152351948,A,0.0745,0.024676513508527967,465.96043,0.0,0.0
E299,***压缩天然气有限责任公司,0.038862127038491935,A,0.0985,0.01627965050256436,580.6995465,0.0,0.0
E301,***企业管理咨询有限公司,0.052038048624482885,A,0.1025,0.012127017499769483,418.40207225,0.0,0.0
E303,***图书发行有限公司,0.050040374475919566,A,0.1025,0.012718866162500207,420.14125549999994,0.0,0.0
E305,***劳务有限公司,0.015560135968586627,A,0.0745,0.028249147676393048,1000.0,0.0,0.0
E308,***餐饮文化服务有限公司,0.021297309325228102,A,0.0745,0.02523525738455236,330.23331075,0.0,0.0
E310,***律师事务所,0.02920508454290867,A,0.0745,0.021081092000820992,311.627417,0.0,0.0
E311,***律师事务所,0.059933752208462164,A,0.1225,0.010248480493789437,314.70399199999997,0.0,0.0
E314,***房地产营销策划有限公司,0.060147720831109266,A,0.1225,0.010203908177531652,214.04781724999998,0.0,0.0
E321,***生物流有限公司,0.06467338535773334,A,0.1225,0.009261156160615493,326.02792875,0.0,0.0
E325,***通讯器材有限公司,0.03318168936038201,A,0.0745,0.01899207535292841,319.22813525,0.0,0.0
