企业代号,信誉评级,PD,rate_opt,profit_unit,cap_wan,amount_wan,expected_profit
E1,A,0.0011332403193700115,0.0465,0.039163713742338555,1000.0,1000.0,39.16371374233855
E13,A,0.010490331521800629,0.0585,0.03093461620710162,1000.0,1000.0,30.93461620710162
E15,A,0.014127437674988209,0.0745,0.029001782329347088,1000.0,0.0,0.0
E16,A,0.007714240614160129,0.0465,0.033211452325391175,1000.0,1000.0,33.21145232539117
E17,A,0.014172351876894107,0.0745,0.02897818770030677,1000.0,0.0,0.0
E18,A,0.01280432718118266,0.0745,0.02969684758612495,1000.0,0.0,0.0
E19,A,0.017350150425924755,0.0745,0.027308805305706167,1000.0,0.0,0.0
E2,A,0.0020838353239453827,0.0465,0.038303937155889194,1000.0,1000.0,38.303937155889194
E22,A,0.031725711425784044,0.0745,0.019756939422643026,1000.0,0.0,0.0
E24,A,0.02634288132082115,0.0745,0.02258468374680487,1000.0,0.0,0.0
E26,A,0.09708536098473053,0.1425,0.003965349622605753,1000.0,0.0,0.0
E27,A,0.02395946567117222,0.0745,0.02383675560194282,1000.0,0.0,0.0
E31,A,0.029254632681459957,0.0745,0.021055063041179108,1000.0,0.0,0.0
E42,A,0.05213529307524151,0.1025,0.012098206996224218,747.74281,0.0,0.0
E48,A,0.06031381872137276,0.1225,0.010169307928191424,1000.0,0.0,0.0
E54,A,0.02647705669943034,0.0745,0.02251419783922354,937.4483967499999,0.0,0.0
E59,A,0.07377746994243457,0.1225,0.007364662495671925,706.00671,0.0,0.0
E6,A,0.005457121943645319,0.0465,0.03525292927025816,1000.0,1000.0,35.25292927025816
E64,A,0.027808961732756005,0.0745,0.021814512576105765,233.91959300000002,0.0,0.0
E7,A,0.003149546854978826,0.0465,0.03734004210291555,1000.0,1000.0,37.34004210291555
E8,A,0.0025444376984652983,0.0465,0.03788734004001006,1000.0,1000.0,37.887340040010066
E81,A,0.20255286852494464,,0.0,89.8588885,0.0,0.0
E84,A,0.23335542940560183,,0.0,142.06898825000002,0.0,0.0
E88,A,0.10935737920302159,0.1425,0.0022048258166475093,70.58282975,0.0,0.0
E89,A,0.12842875379352484,0.15,0.00017980078397910224,49.26589825,0.0,0.0
E9,A,0.007800667852236808,0.0465,0.03313328221575231,1000.0,1000.0,33.13328221575231
E91,A,0.31779820509567797,,0.0,62.2273165,0.0,0.0
E10,B,0.015066704356630729,0.0665,0.029941266342808675,500.0,300.0,8.982379902842602
E106,B,0.21115221069340728,,0.0,16.546182,0.0,0.0
E12,B,0.03117570439555126,0.0825,0.02201195802757344,500.0,0.0,0.0
E20,B,0.03843160475358296,0.0945,0.019107630318416315,500.0,0.0,0.0
E21,B,0.021461149259240784,0.0825,0.026759998249245586,500.0,0.0,0.0
