企业代号,tier,PD_base,amount_wan_base,PD_shock,amount_wan_shock,cluster_label,impact,delta_wan,action
E124,A,0.0080818873065329,1000.0,0.009294170402512833,1000.0,大型批发-制造型,0.15,0.0,维持
E125,A,0.0055015648188577,1000.0,0.006326799541686355,1000.0,大型批发-制造型,0.15,0.0,维持
E126,A,0.0054849587271501,1000.0,0.006307702536222615,1000.0,大型批发-制造型,0.15,0.0,维持
E127,A,0.0042524892905145,1000.0,0.0051029871486174,1000.0,购销失衡-贸易中介型,0.2,0.0,维持
E128,A,0.0209207851327963,0.0,0.025104942159355558,0.0,购销失衡-贸易中介型,0.2,0.0,不贷
E129,A,0.0134693467810355,0.0,0.015489748798190824,0.0,大型批发-制造型,0.15,0.0,不贷
E130,A,0.0515561459715258,0.0,0.06186737516583096,0.0,购销失衡-贸易中介型,0.2,0.0,不贷
E131,A,0.0123095801948523,0.0,0.014156017224080143,0.0,大型批发-制造型,0.15,0.0,不贷
E132,A,0.0094652591862035,0.0,0.010885048064134026,0.0,大型批发-制造型,0.15,0.0,不贷
E133,A,0.0350413147531786,0.0,0.04204957770381432,0.0,购销失衡-贸易中介型,0.2,0.0,不贷
E134,A,0.0100232938716559,0.0,0.011526787952404284,0.0,大型批发-制造型,0.15,0.0,不贷
E135,A,0.0098438848386459,0.0,0.01181266180637508,0.0,购销失衡-贸易中介型,0.2,0.0,不贷
E136,A,0.0379616597801004,0.0,0.04555399173612048,0.0,购销失衡-贸易中介型,0.2,0.0,不贷
E137,A,0.0166688076656734,0.0,0.02000256919880808,0.0,购销失衡-贸易中介型,0.2,0.0,不贷
E138,A,0.0228328459952953,0.0,0.026257772894589592,0.0,大型批发-制造型,0.15,0.0,不贷
E139,A,0.0061820683772938,1000.0,0.00710937863388787,1000.0,大型批发-制造型,0.15,0.0,维持
E140,A,0.0091763084809208,0.0,0.011011570177104961,0.0,购销失衡-贸易中介型,0.2,0.0,不贷
E141,A,0.0044015315255916,1000.0,0.005061761254430339,1000.0,大型批发-制造型,0.15,0.0,维持
E142,A,0.0262272814825402,0.0,0.030161373704921227,0.0,大型批发-制造型,0.15,0.0,不贷
E143,A,0.0383625473355082,0.0,0.04411692943583443,0.0,大型批发-制造型,0.15,0.0,不贷
E144,A,0.0214738741709415,0.0,0.0257686490051298,0.0,购销失衡-贸易中介型,0.2,0.0,不贷
E145,A,0.0190174446116461,0.0,0.021870061303393012,0.0,大型批发-制造型,0.15,0.0,不贷
E146,A,0.0114553769918606,0.0,0.01317368354063969,0.0,大型批发-制造型,0.15,0.0,不贷
E147,A,0.0097982358257881,0.0,0.011267971199656314,0.0,大型批发-制造型,0.15,0.0,不贷
E148,A,0.0086990515913703,0.0,0.010438861909644359,0.0,购销失衡-贸易中介型,0.2,0.0,不贷
E149,A,0.0523442614157117,0.0,0.06281311369885403,0.0,购销失衡-贸易中介型,0.2,0.0,不贷
E150,A,0.0125006576105924,0.0,0.014375756252181258,0.0,大型批发-制造型,0.15,0.0,不贷
E151,A,0.058639396234283,0.0,0.0703672754811396,0.0,购销失衡-贸易中介型,0.2,0.0,不贷
E152,A,0.0139721986268188,0.0,0.016766638352182558,0.0,购销失衡-贸易中介型,0.2,0.0,不贷
E153,A,0.0097550482888077,0.0,0.01170605794656924,0.0,购销失衡-贸易中介型,0.2,0.0,不贷
E154,A,0.0333233614763144,0.0,0.03832186569776156,0.0,大型批发-制造型,0.15,0.0,不贷
E155,A,0.0515352265653511,0.0,0.05926551055015376,0.0,大型批发-制造型,0.15,0.0,不贷
E156,A,0.0125804994338673,0.0,0.01509659932064076,0.0,购销失衡-贸易中介型,0.2,0.0,不贷
E157,A,0.0470495393640537,0.0,0.05410697026866175,0.0,大型批发-制造型,0.15,0.0,不贷
E158,A,0.0179440883247875,0.0,0.021532905989745,0.0,购销失衡-贸易中介型,0.2,0.0,不贷
E159,A,0.0150626044839868,0.0,0.01807512538078416,0.0,购销失衡-贸易中介型,0.2,0.0,不贷
E160,A,0.0216301700854276,0.0,0.024874695598241736,0.0,大型批发-制造型,0.15,0.0,不贷
E161,A,0.0169843255861426,0.0,0.020381190703371122,0.0,购销失衡-贸易中介型,0.2,0.0,不贷
E162,A,0.0165587826144675,0.0,0.01904260000663762,0.0,大型批发-制造型,0.15,0.0,不贷
E163,A,0.0269555017926083,0.0,0.03234660215112996,0.0,购销失衡-贸易中介型,0.2,0.0,不贷
E164,A,0.0117999794460192,0.0,0.013569976362922079,0.0,大型批发-制造型,0.15,0.0,不贷
E165,A,0.0098785290539008,0.0,0.011360308411985919,0.0,大型批发-制造型,0.15,0.0,不贷
E166,A,0.0328683513182456,0.0,0.03944202158189472,0.0,购销失衡-贸易中介型,0.2,0.0,不贷
